node_id,mse_norm,nrmse,rmse_m
197,0.1223,0.3498,1.1164
99,0.0718,0.2680,0.8556
85,0.0699,0.2643,0.8437
34,0.0680,0.2607,0.8321
132,0.0670,0.2588,0.8260
84,0.0618,0.2487,0.7938
183,0.0610,0.2471,0.7886
182,0.0599,0.2447,0.7812
181,0.0578,0.2403,0.7671
39,0.0551,0.2348,0.7495
196,0.0549,0.2343,0.7480
38,0.0547,0.2338,0.7462
37,0.0530,0.2302,0.7347
124,0.0484,0.2199,0.7019
195,0.0476,0.2181,0.6962
3,0.0466,0.2160,0.6893
193,0.0453,0.2129,0.6795
194,0.0441,0.2099,0.6700
20,0.0434,0.2083,0.6650
24,0.0386,0.1966,0.6275
25,0.0386,0.1964,0.6270
23,0.0374,0.1934,0.6173
22,0.0372,0.1929,0.6158
121,0.0371,0.1925,0.6146
94,0.0368,0.1918,0.6122
35,0.0362,0.1904,0.6077
21,0.0356,0.1886,0.6021
92,0.0354,0.1881,0.6004
19,0.0354,0.1880,0.6002
192,0.0352,0.1876,0.5987
36,0.0341,0.1847,0.5894
123,0.0337,0.1837,0.5864
131,0.0333,0.1824,0.5823
130,0.0327,0.1810,0.5776
26,0.0315,0.1775,0.5665
129,0.0306,0.1748,0.5580
120,0.0302,0.1737,0.5546
184,0.0301,0.1736,0.5542
128,0.0300,0.1732,0.5528
32,0.0290,0.1703,0.5435
187,0.0283,0.1683,0.5372
189,0.0277,0.1663,0.5309
127,0.0275,0.1658,0.5292
191,0.0260,0.1613,0.5149
188,0.0258,0.1605,0.5124
162,0.0249,0.1577,0.5035
90,0.0249,0.1577,0.5034
1,0.0247,0.1572,0.5018
190,0.0247,0.1572,0.5017
161,0.0245,0.1564,0.4993
185,0.0242,0.1556,0.4968
93,0.0240,0.1549,0.4944
163,0.0236,0.1538,0.4908
126,0.0234,0.1531,0.4887
119,0.0231,0.1520,0.4851
122,0.0229,0.1514,0.4833
31,0.0229,0.1514,0.4832
45,0.0224,0.1496,0.4775
61,0.0221,0.1486,0.4744
105,0.0209,0.1446,0.4615
118,0.0208,0.1441,0.4599
117,0.0205,0.1431,0.4567
164,0.0200,0.1415,0.4516
186,0.0191,0.1381,0.4408
59,0.0188,0.1373,0.4382
91,0.0187,0.1368,0.4366
2,0.0186,0.1363,0.4351
98,0.0184,0.1355,0.4324
104,0.0181,0.1346,0.4297
29,0.0179,0.1338,0.4270
41,0.0177,0.1329,0.4241
48,0.0173,0.1316,0.4201
165,0.0173,0.1315,0.4198
166,0.0173,0.1315,0.4196
167,0.0170,0.1304,0.4163
16,0.0167,0.1293,0.4127
62,0.0167,0.1291,0.4122
58,0.0167,0.1291,0.4119
60,0.0166,0.1288,0.4112
97,0.0165,0.1284,0.4098
33,0.0164,0.1282,0.4092
64,0.0164,0.1282,0.4091
109,0.0164,0.1281,0.4088
157,0.0161,0.1271,0.4056
155,0.0161,0.1267,0.4044
8,0.0160,0.1267,0.4043
158,0.0160,0.1265,0.4036
156,0.0160,0.1264,0.4035
153,0.0159,0.1263,0.4031
65,0.0159,0.1260,0.4023
114,0.0159,0.1260,0.4022
154,0.0158,0.1259,0.4018
81,0.0156,0.1248,0.3985
44,0.0155,0.1243,0.3968
152,0.0154,0.1243,0.3968
66,0.0154,0.1240,0.3959
150,0.0154,0.1239,0.3955
15,0.0153,0.1235,0.3943
113,0.0152,0.1235,0.3941
149,0.0152,0.1234,0.3939
73,0.0151,0.1231,0.3928
18,0.0150,0.1223,0.3903
151,0.0149,0.1222,0.3900
30,0.0149,0.1219,0.3890
106,0.0148,0.1217,0.3886
147,0.0145,0.1205,0.3846
148,0.0144,0.1200,0.3831
69,0.0142,0.1192,0.3804
28,0.0140,0.1183,0.3776
115,0.0140,0.1182,0.3771
14,0.0139,0.1178,0.3759
110,0.0138,0.1175,0.3750
49,0.0136,0.1167,0.3725
82,0.0136,0.1164,0.3717
111,0.0135,0.1162,0.3710
63,0.0135,0.1161,0.3707
17,0.0134,0.1159,0.3698
95,0.0133,0.1151,0.3675
42,0.0125,0.1119,0.3573
27,0.0124,0.1114,0.3556
53,0.0123,0.1109,0.3540
112,0.0122,0.1106,0.3530
87,0.0121,0.1101,0.3515
100,0.0121,0.1099,0.3508
96,0.0120,0.1094,0.3493
43,0.0120,0.1094,0.3491
89,0.0116,0.1077,0.3436
52,0.0115,0.1075,0.3430
108,0.0115,0.1072,0.3422
146,0.0115,0.1070,0.3416
168,0.0115,0.1070,0.3416
5,0.0114,0.1069,0.3411
6,0.0114,0.1066,0.3402
51,0.0114,0.1065,0.3401
169,0.0113,0.1062,0.3390
170,0.0112,0.1057,0.3375
70,0.0107,0.1036,0.3308
103,0.0107,0.1032,0.3295
71,0.0106,0.1031,0.3291
107,0.0106,0.1029,0.3285
57,0.0103,0.1016,0.3245
78,0.0103,0.1013,0.3234
72,0.0102,0.1012,0.3232
55,0.0101,0.1004,0.3206
145,0.0194,0.1391,0.4440
50,0.0121,0.1100,0.3510
77,0.0099,0.0994,0.3173
67,0.0098,0.0990,0.3159
76,0.0098,0.0988,0.3154
68,0.0098,0.0988,0.3153
116,0.0092,0.0957,0.3055
101,0.0091,0.0952,0.3040
54,0.0089,0.0942,0.3006
83,0.0088,0.0936,0.2988
75,0.0085,0.0921,0.2940
13,0.0082,0.0908,0.2897
74,0.0082,0.0907,0.2894
46,0.0081,0.0899,0.2870
47,0.0080,0.0895,0.2857
160,0.0080,0.0895,0.2855
159,0.0077,0.0880,0.2810
4,0.0076,0.0872,0.2783
174,0.0075,0.0866,0.2764
179,0.0075,0.0866,0.2764
175,0.0074,0.0863,0.2753
178,0.0074,0.0862,0.2752
177,0.0074,0.0860,0.2746
176,0.0073,0.0856,0.2733
79,0.0072,0.0846,0.2701
12,0.0071,0.0845,0.2696
139,0.0071,0.0841,0.2685
140,0.0071,0.0840,0.2682
80,0.0070,0.0838,0.2673
10,0.0070,0.0836,0.2670
134,0.0070,0.0836,0.2669
138,0.0070,0.0835,0.2664
88,0.0069,0.0829,0.2647
86,0.0069,0.0829,0.2645
172,0.0068,0.0827,0.2640
173,0.0068,0.0825,0.2635
171,0.0068,0.0825,0.2634
141,0.0068,0.0823,0.2628
9,0.0068,0.0822,0.2625
180,0.0068,0.0822,0.2624
133,0.0066,0.0814,0.2597
143,0.0066,0.0813,0.2596
142,0.0066,0.0813,0.2594
135,0.0065,0.0807,0.2576
136,0.0065,0.0806,0.2574
137,0.0064,0.0799,0.2551
11,0.0063,0.0793,0.2533
56,0.0062,0.0788,0.2516
0,0.0059,0.0767,0.2447
102,0.0059,0.0766,0.2445
7,0.0053,0.0729,0.2327
125,0.0050,0.0704,0.2246
144,0.0044,0.0664,0.2119
40,0.0027,0.0518,0.1653
